arr_num,scenario,horizon_years,ve_actuel,ve_projete,bornes_actuelles,bornes_cible,deficit_bornes,pression_projetee,energie_add_mwh
7,bas,1,13644,16372,207,1637.0,1430.0,79.1,3575.0
11,bas,1,4133,4959,141,495.0,354.0,35.2,885.0
15,bas,1,9122,10946,343,1094.0,751.0,31.9,1877.5
13,bas,1,5317,6380,253,638.0,385.0,25.2,962.5
6,bas,1,1419,1702,93,170.0,77.0,18.3,192.5
9,bas,1,6617,7940,438,794.0,356.0,18.1,890.0
3,bas,1,870,1044,66,104.0,38.0,15.8,95.0
17,bas,1,9349,11218,756,1121.0,365.0,14.8,912.5
16,bas,1,10520,12624,893,1262.0,369.0,14.1,922.5
20,bas,1,1692,2030,152,203.0,51.0,13.4,127.5
1,bas,1,2206,2647,200,264.0,64.0,13.2,160.0
2,bas,1,2192,2630,212,263.0,51.0,12.4,127.5
12,bas,1,4078,4893,463,489.0,26.0,10.6,65.0
19,bas,1,2179,2614,258,261.0,3.0,10.1,7.5
18,bas,1,1682,2018,230,230.0,0.0,8.8,0.0
5,bas,1,1282,1538,179,179.0,0.0,8.6,0.0
14,bas,1,2912,3494,423,423.0,0.0,8.3,0.0
8,bas,1,15338,18405,2223,2223.0,0.0,8.3,0.0
10,bas,1,1623,1947,540,540.0,0.0,3.6,0.0
4,bas,1,755,906,342,342.0,0.0,2.6,0.0
7,bas,2,13644,19647,207,1964.0,1757.0,94.9,4392.5
11,bas,2,4133,5951,141,595.0,454.0,42.2,1135.0
15,bas,2,9122,13135,343,1313.0,970.0,38.3,2425.0
13,bas,2,5317,7656,253,765.0,512.0,30.3,1280.0
6,bas,2,1419,2043,93,204.0,111.0,22.0,277.5
9,bas,2,6617,9528,438,952.0,514.0,21.8,1285.0
3,bas,2,870,1252,66,125.0,59.0,19.0,147.5
17,bas,2,9349,13462,756,1346.0,590.0,17.8,1475.0
16,bas,2,10520,15148,893,1514.0,621.0,17.0,1552.5
20,bas,2,1692,2436,152,243.0,91.0,16.0,227.5
1,bas,2,2206,3176,200,317.0,117.0,15.9,292.5
2,bas,2,2192,3156,212,315.0,103.0,14.9,257.5
12,bas,2,4078,5872,463,587.0,124.0,12.7,310.0
19,bas,2,2179,3137,258,313.0,55.0,12.2,137.5
18,bas,2,1682,2422,230,242.0,12.0,10.5,30.0
5,bas,2,1282,1846,179,184.0,5.0,10.3,12.5
14,bas,2,2912,4193,423,423.0,0.0,9.9,0.0
